image 0, sky : 50.6298265000254, sea : 20.678158976019915, Land : 21.052192882182595
image 1, sky : 8.751762307575065, sea : 3.8763225245135398, Land : 59.705512053548745
image 2, sky : 14.560054202865416, sea : 3.7480789259767313, Land : 54.813084260529386
image 3, sky : 2.7618614413453235, sea : 2.8077250990702636, Land : 69.37637332977697
image 4, sky : 0.18226388253823098, sea : 2.340177754915409, Land : 72.66206482116547
image 5, sky : 7.975195917797084, sea : 3.90347158715643, Land : 62.019374269674344
image 6, sky : 7.507370732357872, sea : 4.052513590407966, Land : 62.71371948508866
image 7, sky : 19.50414062896916, sea : 4.110046582075904, Land : 46.23598489178479
image 8, sky : 9.680049884418025, sea : 3.5262226604176194, Land : 56.62189055911192
image 9, sky : 2.6035316008738505, sea : 4.201436518823351, Land : 65.51245443402937
image 10, sky : 8.143091436772849, sea : 4.673349940303815, Land : 57.379226362851185
image 11, sky : 22.96878175328964, sea : 12.593811125082558, Land : 32.28081101077072
image 12, sky : 3.8039448699385257, sea : 1.985910271554133, Land : 65.37641143372454
image 13, sky : 10.592282204186354, sea : 2.3809807321038456, Land : 55.436937172941114
image 14, sky : 4.15340966824163, sea : 9.890038357973886, Land : 56.30945803485241
image 15, sky : 20.92208377787939, sea : 33.543579802367525, Land : 17.961843659503124
image 16, sky : 12.553682905298988, sea : 6.320373228166439, Land : 51.940463375755726
image 17, sky : 11.626070085860896, sea : 4.198598568561703, Land : 51.78362197073617
image 18, sky : 12.655452198597775, sea : 15.69072930955647, Land : 20.16149326195194
image 19, sky : 8.160853433165675, sea : 50.47969297744246, Land : 11.702039831326525
image 20, sky : 22.37505477442463, sea : 9.200118757303256, Land : 30.56000101610527
image 21, sky : 3.6254318447391154, sea : 28.90892918381344, Land : 31.317555123710818
image 22, sky : 15.28496195955901, sea : 20.640293178123255, Land : 31.89566345323375
image 23, sky : 14.168178917085811, sea : 29.447028368388967, Land : 25.921599540212366
image 24, sky : 26.344533512421886, sea : 25.87926843595997, Land : 23.304156029314637
image 25, sky : 13.57369779759183, sea : 17.179303682111467, Land : 39.73866645709496
image 26, sky : 23.733559734288473, sea : 24.770522944927094, Land : 24.39144820403394
image 27, sky : 16.107868306406544, sea : 31.35903285830412, Land : 24.978427608850275
image 28, sky : 15.681481163948586, sea : 25.747809816847024, Land : 26.590026132957373
image 29, sky : 13.24977455164355, sea : 31.961055384087793, Land : 22.525783671188336
image 30, sky : 16.41998329776965, sea : 16.453820397043135, Land : 39.97254928110552
image 31, sky : 19.682375812884214, sea : 39.36685528120713, Land : 21.774401609256717
image 32, sky : 19.485644337753392, sea : 26.055578576690547, Land : 38.48556257303257
image 33, sky : 33.221561753797694, sea : 26.579567393181936, Land : 26.922086159376114
image 34, sky : 15.58094231062338, sea : 10.023938011227964, Land : 38.106289374079154
image 35, sky : 10.62796496342021, sea : 5.716822575318803, Land : 58.19020538027739
image 36, sky : 13.084141454554693, sea : 5.603026723568562, Land : 58.83616652060153
image 37, sky : 7.700589499822182, sea : 4.118203208352385, Land : 62.70522548010974
image 38, sky : 7.580998672712493, sea : 3.8431403368388968, Land : 63.464645093481685
image 39, sky : 5.529339245795865, sea : 3.0737779746481735, Land : 67.64831961591221
image 40, sky : 9.089577617741199, sea : 3.0132681120764113, Land : 47.80245405298989
image 41, sky : 6.640525770969872, sea : 3.3640030419651477, Land : 66.34536306711375
image 42, sky : 4.368478668140019, sea : 3.139050830666057, Land : 64.8894151996647
image 43, sky : 8.847319863587867, sea : 3.1045588197937306, Land : 62.188996373774316
image 44, sky : 10.000639034954022, sea : 2.936822067266169, Land : 56.14906423055429
image 45, sky : 7.527613454503887, sea : 5.976524792968552, Land : 24.092828360768177
image 46, sky : 13.887817215363512, sea : 8.6901609256719, Land : 58.77029829040289
image 47, sky : 16.701158677538995, sea : 19.445099356043286, Land : 8.303326474622772
image 48, sky : 20.145001397144743, sea : 6.77460403647818, Land : 14.17179085378245
image 49, sky : 12.053687668292437, sea : 52.25934578697353, Land : 7.665422731544988
image 50, sky : 15.479609625057156, sea : 45.213588502768886, Land : 9.743060318549002
image 51, sky : 16.11136116826703, sea : 43.93214480770208, Land : 11.029108240613727
image 52, sky : 13.052288935883757, sea : 34.50151701341259, Land : 21.517537341868618
image 53, sky : 16.3934891467256, sea : 36.9991117017223, Land : 16.640787735609408
image 54, sky : 17.76957749072804, sea : 34.99865445435147, Land : 17.986948604125388
image 55, sky : 20.741328176599097, sea : 32.04637250419143, Land : 12.340856481481481
image 56, sky : 30.395360209317683, sea : 35.37437525402632, Land : 10.674245383071685
image 57, sky : 20.714318034598385, sea : 29.361552481837116, Land : 19.61321317888533
image 58, sky : 18.171355833714372, sea : 35.33514009551389, Land : 18.010723879743942
image 59, sky : 20.253538110298226, sea : 22.611160328710053, Land : 27.728044187877863
image 60, sky : 29.113003607173702, sea : 8.420952566935934, Land : 35.32293492480821
image 61, sky : 7.98430514276279, sea : 6.160416031600874, Land : 55.48442818676015
image 62, sky : 8.00395249072804, sea : 22.049424789158156, Land : 43.003519852156685
image 63, sky : 7.139330259614896, sea : 14.0851440646751, Land : 49.73773767337296
image 64, sky : 5.184101604176193, sea : 5.727975918305137, Land : 61.50628080069095
image 65, sky : 10.720287653050855, sea : 6.914735272824264, Land : 53.051749129959866
image 66, sky : 26.538268270842856, sea : 9.240842351267592, Land : 39.65672312401565
